,6/25,7/2,7/9,7/16,7/23,7/30,8/6,8/13,8/20,8/27,9/3,9/10,9/17
Notes - View/Create/Edit/Delete,884,895,933,929,938,"1,053",989,"1,032","1,005",964,967,929,906
Notes Password,649,667,652,629,669,678,609,674,645,683,662,600,103
Folders - Create/Delete/Manage,201,183,199,172,209,213,220,251,198,205,235,199,146
Add People / Share / View Activity,102,106,97,117,107,93,106,91,100,109,112,107,56
Launch / Locate App,103,79,78,79,100,91,82,87,97,85,102,103,69
Search / Tags,25,34,27,33,24,35,35,40,22,27,34,34,24
Lock/Unlock Notes,,,,,,,,1,,3,1,5,289
Widgets,10,6,12,8,9,9,12,10,5,10,12,9,11
Configure Notes Settings,,,,,,,,,,1,,,70
